Starter,Tm,Year,PlID,TmID
MatthewStafford,DET,2015,MatthewStafford2015,DET2015
AaronRodgers,GNB,2015,AaronRodgers2015,GNB2015
BrianHoyer,HOU,2015,BrianHoyer2015,HOU2015
AndrewLuck,IND,2015,AndrewLuck2015,IND2015
BlakeBortles,JAX,2015,BlakeBortles2015,JAX2015
AlexSmith,KAN,2015,AlexSmith2015,KAN2015
RyanTannehill,MIA,2015,RyanTannehill2015,MIA2015
TeddyBridgewater,MIN,2015,TeddyBridgewater2015,MIN2015
DrewBrees,NOR,2015,DrewBrees2015,NOR2015
TomBrady,NWE,2015,TomBrady2015,NWE2015
EliManning,NYG,2015,EliManning2015,NYG2015
RyanFitzpatrick,NYJ,2015,RyanFitzpatrick2015,NYJ2015
DerekCarr,OAK,2015,DerekCarr2015,OAK2015
SamBradford,PHI,2015,SamBradford2015,PHI2015
BenRoethlisberger,PIT,2015,BenRoethlisberger2015,PIT2015
PhilipRivers,SDG,2015,PhilipRivers2015,SDG2015
RussellWilson,SEA,2015,RussellWilson2015,SEA2015
ColinKaepernick,SFO,2015,ColinKaepernick2015,SFO2015
NickFoles,STL,2015,NickFoles2015,STL2015
JameisWinston,TAM,2015,JameisWinston2015,TAM2015
MarcusMariota,TEN,2015,MarcusMariota2015,TEN2015
KirkCousins,WAS,2015,KirkCousins2015,WAS2015
CarsonPalmer,ARI,2016,CarsonPalmer2016,ARI2016
MattRyan,ATL,2016,MattRyan2016,ATL2016
JoeFlacco,BAL,2016,JoeFlacco2016,BAL2016
TyrodTaylor,BUF,2016,TyrodTaylor2016,BUF2016
CamNewton,CAR,2016,CamNewton2016,CAR2016
JayCutler,CHI,2016,JayCutler2016,CHI2016
AndyDalton,CIN,2016,AndyDalton2016,CIN2016
JoshMcCown,CLE,2016,JoshMcCown2016,CLE2016
DakPrescott,DAL,2016,DakPrescott2016,DAL2016
TrevorSiemian,DEN,2016,TrevorSiemian2016,DEN2016
MatthewStafford,DET,2016,MatthewStafford2016,DET2016
AaronRodgers,GNB,2016,AaronRodgers2016,GNB2016
BrockOsweiler,HOU,2016,BrockOsweiler2016,HOU2016
AndrewLuck,IND,2016,AndrewLuck2016,IND2016
BlakeBortles,JAX,2016,BlakeBortles2016,JAX2016
AlexSmith,KAN,2016,AlexSmith2016,KAN2016
CaseKeenum,LAR,2016,CaseKeenum2016,LAR2016
RyanTannehill,MIA,2016,RyanTannehill2016,MIA2016
SamBradford,MIN,2016,SamBradford2016,MIN2016
DrewBrees,NOR,2016,DrewBrees2016,NOR2016
TomBrady,NWE,2016,TomBrady2016,NWE2016
EliManning,NYG,2016,EliManning2016,NYG2016
RyanFitzpatrick,NYJ,2016,RyanFitzpatrick2016,NYJ2016
DerekCarr,OAK,2016,DerekCarr2016,OAK2016
CarsonWentz,PHI,2016,CarsonWentz2016,PHI2016
BenRoethlisberger,PIT,2016,BenRoethlisberger2016,PIT2016
PhilipRivers,SDG,2016,PhilipRivers2016,SDG2016
RussellWilson,SEA,2016,RussellWilson2016,SEA2016
ColinKaepernick,SFO,2016,ColinKaepernick2016,SFO2016
JameisWinston,TAM,2016,JameisWinston2016,TAM2016
MarcusMariota,TEN,2016,MarcusMariota2016,TEN2016
KirkCousins,WAS,2016,KirkCousins2016,WAS2016
CarsonPalmer,ARI,2017,CarsonPalmer2017,ARI2017
MattRyan,ATL,2017,MattRyan2017,ATL2017
JoeFlacco,BAL,2017,JoeFlacco2017,BAL2017
TyrodTaylor,BUF,2017,TyrodTaylor2017,BUF2017
CamNewton,CAR,2017,CamNewton2017,CAR2017
MitchellTrubisky,CHI,2017,MitchellTrubisky2017,CHI2017
AndyDalton,CIN,2017,AndyDalton2017,CIN2017
DeShoneKizer,CLE,2017,DeShoneKizer2017,CLE2017
DakPrescott,DAL,2017,DakPrescott2017,DAL2017
TrevorSiemian,DEN,2017,TrevorSiemian2017,DEN2017
MatthewStafford,DET,2017,MatthewStafford2017,DET2017
AaronRodgers,GNB,2017,AaronRodgers2017,GNB2017
DeshaunWatson,HOU,2017,DeshaunWatson2017,HOU2017
JacobyBrissett,IND,2017,JacobyBrissett2017,IND2017
BlakeBortles,JAX,2017,BlakeBortles2017,JAX2017
AlexSmith,KAN,2017,AlexSmith2017,KAN2017
PhilipRivers,LAC,2017,PhilipRivers2017,LAC2017
JaredGoff,LAR,2017,JaredGoff2017,LAR2017
JayCutler,MIA,2017,JayCutler2017,MIA2017
CaseKeenum,MIN,2017,CaseKeenum2017,MIN2017
DrewBrees,NOR,2017,DrewBrees2017,NOR2017
TomBrady,NWE,2017,TomBrady2017,NWE2017
EliManning,NYG,2017,EliManning2017,NYG2017
JoshMcCown,NYJ,2017,JoshMcCown2017,NYJ2017
DerekCarr,OAK,2017,DerekCarr2017,OAK2017
CarsonWentz,PHI,2017,CarsonWentz2017,PHI2017
BenRoethlisberger,PIT,2017,BenRoethlisberger2017,PIT2017
RussellWilson,SEA,2017,RussellWilson2017,SEA2017
JimmyGaroppolo,SFO,2017,JimmyGaroppolo2017,SFO2017
JameisWinston,TAM,2017,JameisWinston2017,TAM2017
MarcusMariota,TEN,2017,MarcusMariota2017,TEN2017
KirkCousins,WAS,2017,KirkCousins2017,WAS2017
SamBradford,ARI,2018,SamBradford2018,ARI2018
MattRyan,ATL,2018,MattRyan2018,ATL2018
JoeFlacco,BAL,2018,JoeFlacco2018,BAL2018
JoshAllen,BUF,2018,JoshAllen2018,BUF2018
CamNewton,CAR,2018,CamNewton2018,CAR2018
MitchellTrubisky,CHI,2018,MitchellTrubisky2018,CHI2018
AndyDalton,CIN,2018,AndyDalton2018,CIN2018
TyrodTaylor,CLE,2018,TyrodTaylor2018,CLE2018
DakPrescott,DAL,2018,DakPrescott2018,DAL2018
CaseKeenum,DEN,2018,CaseKeenum2018,DEN2018
MatthewStafford,DET,2018,MatthewStafford2018,DET2018
AaronRodgers,GNB,2018,AaronRodgers2018,GNB2018
DeshaunWatson,HOU,2018,DeshaunWatson2018,HOU2018
AndrewLuck,IND,2018,AndrewLuck2018,IND2018
BlakeBortles,JAX,2018,BlakeBortles2018,JAX2018
PatrickMahomes,KAN,2018,PatrickMahomes2018,KAN2018
PhilipRivers,LAC,2018,PhilipRivers2018,LAC2018
JaredGoff,LAR,2018,JaredGoff2018,LAR2018
RyanTannehill,MIA,2018,RyanTannehill2018,MIA2018
KirkCousins,MIN,2018,KirkCousins2018,MIN2018
DrewBrees,NOR,2018,DrewBrees2018,NOR2018
TomBrady,NWE,2018,TomBrady2018,NWE2018
EliManning,NYG,2018,EliManning2018,NYG2018
SamDarnold,NYJ,2018,SamDarnold2018,NYJ2018
DerekCarr,OAK,2018,DerekCarr2018,OAK2018
CarsonWentz,PHI,2018,CarsonWentz2018,PHI2018
BenRoethlisberger,PIT,2018,BenRoethlisberger2018,PIT2018
RussellWilson,SEA,2018,RussellWilson2018,SEA2018
JimmyGaroppolo,SFO,2018,JimmyGaroppolo2018,SFO2018
JameisWinston,TAM,2018,JameisWinston2018,TAM2018
MarcusMariota,TEN,2018,MarcusMariota2018,TEN2018
AlexSmith,WAS,2018,AlexSmith2018,WAS2018
KylerMurray,ARI,2019,KylerMurray2019,ARI2019
MattRyan,ATL,2019,MattRyan2019,ATL2019
LamarJackson,BAL,2019,LamarJackson2019,BAL2019
JoshAllen,BUF,2019,JoshAllen2019,BUF2019
CamNewton,CAR,2019,CamNewton2019,CAR2019
MitchellTrubisky,CHI,2019,MitchellTrubisky2019,CHI2019
AndyDalton,CIN,2019,AndyDalton2019,CIN2019
BakerMayfield,CLE,2019,BakerMayfield2019,CLE2019
DakPrescott,DAL,2019,DakPrescott2019,DAL2019
