Player,Team,Cmp,Att,Yds,TD,Int,AvgRate,PassRate,Year,PlID
MarkBrunell,JAX,600,985,6949,39,27,84.05,84.01649746192894,2001,MarkBrunell2001
JayFiedler,MIA,477,807,5692,34,33,77.4,77.73389095415118,2001,JayFiedler2001
DonovanMcNabb,PHI,615,1062,6598,46,25,81.05,80.8576585059636,2001,DonovanMcNabb2001
JonKitna,CIN,572,999,5874,30,41,68.35,67.2067901234568,2001,JonKitna2001
KordellStewart,PIT,417,731,4969,25,19,77.65,78.5140218878249,2001,KordellStewart2001
TimCouch,CLE,409,669,4523,24,30,75.2,74.47371699053313,2001,TimCouch2001
ElvisGrbac,BAL,591,1014,7202,43,32,80.5,81.2335634451019,2001,ElvisGrbac2001
ChrisWeinke,CAR,293,540,2931,11,19,62.0,62.04475308641976,2001,ChrisWeinke2001
ChrisChandler,ATL,415,696,5083,26,26,78.8,79.08884099616857,2001,ChrisChandler2001
TomBrady,NWE,264,413,2843,18,12,86.5,86.45581113801454,2001,TomBrady2001
BrianGriese,DEN,491,787,5515,42,23,90.7,88.88447691656079,2001,BrianGriese2001
VinnyTestaverde,NYJ,588,1031,6484,36,39,72.15,71.69212738441642,2001,VinnyTestaverde2001
DaunteCulpepper,MIN,532,840,6549,47,29,90.65,91.61210317460316,2001,DaunteCulpepper2001
CharlieBatch,DET,419,753,4881,25,27,72.05,71.58864541832669,2001,CharlieBatch2001
TonyBanks,WAS,348,644,3964,18,18,70.3,70.43219461697724,2001,TonyBanks2001
JimMiller,CHI,275,477,2681,14,11,71.55,73.72030048916841,2001,JimMiller2001
AlexVanPelt,BUF,178,307,2056,12,11,76.4,76.40472312703585,2001,AlexVanPelt2001
MattHasselbeck,SEA,176,321,2023,7,8,70.9,70.91770508826583,2001,MattHasselbeck2001
RobJohnson,BUF,309,522,3590,17,14,79.25,79.74936143039592,2001,RobJohnson2001
QuincyCarter,DAL,90,176,1072,5,7,63.0,62.97348484848485,2001,QuincyCarter2001
TrentDilfer,SEA,207,348,2516,19,15,84.3,82.01628352490422,2001,TrentDilfer2001
TyDetmer,DET,92,151,906,3,10,56.9,56.88465783664459,2001,TyDetmer2001
ToddBouman,MIN,51,89,795,8,4,98.3,98.29119850187266,2001,ToddBouman2001
MichaelVick,ATL,50,113,785,2,3,62.7,62.73967551622419,2001,MichaelVick2001
ShaneMatthews,CHI,186,307,1658,8,12,68.15,67.47421281216072,2001,ShaneMatthews2001
MikeMcMahon,DET,53,115,671,3,1,69.9,69.8731884057971,2001,MikeMcMahon2001
RandallCunningham,BAL,128,214,1422,9,6,81.85,81.95093457943926,2001,RandallCunningham2001
AnthonyWright,DAL,70,151,766,5,8,46.4,50.814017660044144,2001,AnthonyWright2001
NeilODonnell,TEN,78,140,1026,4,5,73.7,73.69047619047619,2001,NeilODonnell2001
RyanLeaf,DAL,206,410,2377,12,21,56.95,56.524390243902445,2001,RyanLeaf2001
SpergonWynn,MIN,70,152,585,1,7,39.9,39.50109649122807,2001,SpergonWynn2001
DrewBledsoe,NWE,352,597,3691,19,15,76.3,77.1182300390843,2001,DrewBledsoe2001
JonathanQuinn,JAX,32,61,361,1,1,69.1,69.0915300546448,2001,JonathanQuinn2001
ClintStoerner,DAL,26,49,314,3,5,53.8,50.89285714285715,2001,ClintStoerner2001
GusFrerotte,DEN,168,280,2084,12,8,91.9,85.47619047619047,2001,GusFrerotte2001
JeffGeorge,WAS,136,236,1557,7,9,57.1,71.5925141242938,2001,JeffGeorge2001
MattLytle,CAR,17,30,133,1,3,39.3,37.22222222222222,2001,MattLytle2001
AkiliSmith,CIN,123,275,1290,3,6,63.1,53.4469696969697,2001,AkiliSmith2001
RichGannon,OAK,1063,1640,11947,81,30,95.07,95.29217479674797,2002,RichGannon2002
DrewBledsoe,BUF,727,1207,8050,43,30,79.53,81.58485225075945,2002,DrewBledsoe2002
PeytonManning,IND,1092,1709,12744,86,57,89.2,89.2785742149405,2002,PeytonManning2002
KerryCollins,NYG,973,1642,11447,60,43,81.87,81.78034916768169,2002,KerryCollins2002
DaunteCulpepper,MIN,865,1389,10402,65,52,85.53,85.1826853851692,2002,DaunteCulpepper2002
TomBrady,NWE,637,1014,6607,46,26,86.1,86.02071005917159,2002,TomBrady2002
TrentGreen,KAN,728,1233,9536,59,42,88.5,85.26797783184644,2002,TrentGreen2002
BrettFavre,GNB,993,1641,11391,79,47,85.9,85.54616087751371,2002,BrettFavre2002
AaronBrooks,NOR,708,1280,8918,62,43,80.73,79.35546875,2002,AaronBrooks2002
SteveMcNair,TEN,813,1319,9584,58,40,85.8,85.74519838261308,2002,SteveMcNair2002
JeffGarcia,SFO,999,1593,11160,84,32,92.67,92.7403745553463,2002,JeffGarcia2002
DrewBrees,SDG,320,526,3284,17,16,76.9,76.89321926489227,2002,DrewBrees2002
BrianGriese,DEN,782,1223,8729,57,38,89.0,87.69589806486783,2002,BrianGriese2002
JonKitna,CIN,866,1472,9052,46,57,71.93,71.01449275362319,2002,JonKitna2002
ChadPennington,NYJ,275,399,3120,22,6,104.2,104.21365914786966,2002,ChadPennington2002
MattHasselbeck,SEA,443,740,5098,22,18,79.35,80.45045045045045,2002,MattHasselbeck2002
BradJohnson,TAM,849,1375,8960,46,32,82.1,82.14393939393939,2002,BradJohnson2002
JakePlummer,ARI,858,1530,9571,49,55,70.43,70.57734204793029,2002,JakePlummer2002
MichaelVick,ATL,281,534,3721,18,11,72.15,77.62172284644194,2002,MichaelVick2002
TimCouch,CLE,682,1112,7365,42,48,75.73,75.39343525179856,2002,TimCouch2002
TommyMaddox,PIT,234,377,2836,20,16,85.2,85.15141467727675,2002,TommyMaddox2002
MarkBrunell,JAX,845,1401,9737,56,34,84.6,84.51552462526766,2002,MarkBrunell2002
RodneyPeete,CAR,223,381,2630,15,14,77.4,77.43328958880141,2002,RodneyPeete2002
DavidCarr,HOU,233,444,2592,9,15,62.8,62.819069069069066,2002,DavidCarr2002
JoeyHarrington,DET,215,429,2294,12,16,59.9,59.911616161616166,2002,JoeyHarrington2002
DonovanMcNabb,PHI,826,1423,8887,63,31,82.7,82.15770672288592,2002,DonovanMcNabb2002
JeffBlake,BAL,349,597,4109,26,20,80.0,80.035594639866,2002,JeffBlake2002
JayFiedler,MIA,656,1099,7716,48,42,80.0,79.71451319381256,2002,JayFiedler2002
JimMiller,CHI,455,791,4625,27,20,73.53,75.22387273493469,2002,JimMiller2002
MarcBulger,STL,138,214,1826,14,6,101.5,101.49922118380061,2002,MarcBulger2002
ChadHutchinson,DAL,127,250,1555,7,8,66.3,66.33333333333334,2002,ChadHutchinson2002
PatrickRamsey,WAS,117,227,1539,9,8,71.8,71.81534508076356,2002,PatrickRamsey2002
QuincyCarter,DAL,215,397,2537,12,15,67.65,68.17275398824518,2002,QuincyCarter2002
KurtWarner,STL,754,1113,9690,60,51,89.03,93.69010182689429,2002,KurtWarner2002
ShaneMatthews,WAS,310,544,2909,19,18,69.63,69.70741421568628,2002,ShaneMatthews2002
JamieMartin,STL,124,195,1216,7,10,71.7,71.65598290598291,2002,JamieMartin2002
TrentDilfer,SEA,301,516,3698,23,21,79.9,78.4560723514212,2002,TrentDilfer2002
KordellStewart,PIT,526,897,6124,31,25,79.37,79.30369751021927,2002,KordellStewart2002
RayLucas,MIA,92,160,1045,4,6,69.9,69.921875,2002,RayLucas2002
ChrisRedman,BAL,97,182,1034,7,3,76.1,76.12179487179488,2002,ChrisRedman2002
ChrisChandler,CHI,518,857,6106,30,30,79.13,79.22257876312719,2002,ChrisChandler2002
AJFeeley,PHI,86,154,1011,6,5,75.4,75.43290043290042,2002,AJFeeley2002
SteveBeuerlein,DEN,392,650,4655,25,23,81.2,80.25641025641028,2002,SteveBeuerlein2002
MikeMcMahon,DET,115,262,1545,10,10,61.15,60.05089058524173,2002,MikeMcMahon2002
KellyHolcomb,CLE,64,106,790,8,4,92.9,92.88522012578615,2002,KellyHolcomb2002
DannyWuerffel,WAS,58,92,719,3,6,70.9,70.87862318840581,2002,DannyWuerffel2002
RobJohnson,TAM,366,610,4126,18,16,78.1,79.17349726775956,2002,RobJohnson2002
VinnyTestaverde,NYJ,642,1114,6983,39,42,74.2,72.18731298623578,2002,VinnyTestaverde2002
DougJohnson,ATL,73,124,854,4,6,71.05,70.43010752688171,2002,DougJohnson2002
GusFrerotte,CIN,212,365,2521,13,13,76.63,76.29566210045662,2002,GusFrerotte2002
DavidGarrard,JAX,23,46,231,1,2,53.8,53.80434782608695,2002,DavidGarrard2002
KoyDetmer,PHI,19,28,224,2,0,115.8,115.77380952380952,2002,KoyDetmer2002
HenryBurris,CHI,18,51,207,3,5,28.4,27.16503267973856,2002,HenryBurris2002
ChrisWeinke,CAR,310,578,3111,11,22,44.1,59.688581314878896,2002,ChrisWeinke2002
RandyFasani,CAR,15,44,171,0,4,8.8,8.806818181818176,2002,RandyFasani2002
AkiliSmith,CIN,135,308,1407,3,7,53.57,51.42045454545454,2002,AkiliSmith2002
ShaunKing,TAM,243,455,2849,18,14,52.9,73.0448717948718,2002,ShaunKing2002
ScottCovington,STL,2,5,7,0,0,47.9,41.25,2002,ScottCovington2002
PeytonManning,IND,1471,2275,17011,115,67,91.65,91.70054945054945,2003,PeytonManning2003
TrentGreen,KAN,1058,1756,13575,83,54,89.53,87.4454252088079,2003,TrentGreen2003
MarcBulger,STL,474,746,5671,36,28,91.45,87.15370866845397,2003,MarcBulger2003
MattHasselbeck,SEA,756,1253,8939,48,33,82.5,83.88367916999204,2003,MattHasselbeck2003
BradJohnson,TAM,1203,1945,12771,72,53,81.95,81.969794344473,2003,BradJohnson2003
TomBrady,NWE,954,1541,10227,69,38,86.03,85.97636815920397,2003,TomBrady2003
JonKitna,CIN,1190,1992,12643,72,72,75.8,75.29911311914324,2003,JonKitna2003
AaronBrooks,NOR,1014,1798,12464,86,51,82.75,82.08889506859474,2003,AaronBrooks2003
DaunteCulpepper,MIN,1160,1843,13881,90,63,88.25,87.95103092783506,2003,DaunteCulpepper2003
TommyMaddox,PIT,532,896,6250,38,33,80.25,79.41778273809524,2003,TommyMaddox2003
BrettFavre,GNB,1301,2112,14752,111,68,87.03,86.62405303030303,2003,BrettFavre2003
QuincyCarter,DAL,507,902,5839,29,36,68.9,69.98337028824834,2003,QuincyCarter2003
JakeDelhomme,CAR,266,449,3219,19,16,80.6,80.58184855233853,2003,JakeDelhomme2003
DonovanMcNabb,PHI,1101,1901,12103,79,42,81.92,81.5217867788883,2003,DonovanMcNabb2003
SteveMcNair,TEN,1063,1719,12799,82,47,89.45,89.14703315881326,2003,SteveMcNair2003
KerryCollins,NYG,1257,2142,14557,73,59,79.08,79.18611889200125,2003,KerryCollins2003
JoeyHarrington,DET,524,983,5174,29,38,61.9,62.16302136317397,2003,JoeyHarrington2003
DrewBledsoe,BUF,1001,1678,10910,54,42,77.9,79.18404847040127,2003,DrewBledsoe2003
ByronLeftwich,JAX,239,418,2819,14,16,73.0,73.04625199362042,2003,ByronLeftwich2003
JeffGarcia,SFO,1224,1985,13864,102,45,89.53,90.25293870696895,2003,JeffGarcia2003
JeffBlake,ARI,557,964,6356,39,35,76.53,76.06327800829874,2003,JeffBlake2003
JakePlummer,DEN,1047,1832,11753,64,62,75.62,73.98335152838428,2003,JakePlummer2003
PatrickRamsey,WAS,296,564,3705,23,17,73.8,74.22429078014184,2003,PatrickRamsey2003
ChadPennington,NYJ,464,696,5259,35,18,93.55,95.10895593869732,2003,ChadPennington2003
JayFiedler,MIA,835,1413,9854,59,55,78.1,78.08592828497288,2003,JayFiedler2003
DrewBrees,SDG,525,882,5392,28,31,72.2,73.09618291761147,2003,DrewBrees2003
DavidCarr,HOU,400,739,4605,18,28,66.15,65.48545331529093,2003,DavidCarr2003
KellyHolcomb,CLE,257,408,2587,18,16,83.75,79.36070261437908,2003,KellyHolcomb2003
DougJohnson,ATL,209,367,2509,12,18,69.87,68.48887375113533,2003,DougJohnson2003
KordellStewart,CHI,652,1148,7542,38,37,73.73,74.39024390243901,2003,KordellStewart2003
VinnyTestaverde,NYJ,765,1312,8368,46,44,78.3,74.96189024390245,2003,VinnyTestaverde2003
TimCouch,CLE,802,1315,8684,49,54,76.2,75.73352344740178,2003,TimCouch2003
RichGannon,OAK,1188,1865,13221,87,34,89.67,92.65750670241287,2003,RichGannon2003
RickMirer,OAK,116,221,1267,3,5,64.8,64.80957767722474,2003,RickMirer2003
KyleBoller,BAL,116,224,1260,7,9,62.4,62.351190476190474,2003,KyleBoller2003
AnthonyWright,BAL,164,329,1965,14,16,55.03,62.430344478216824,2003,AnthonyWright2003
DougFlutie,SDG,517,919,6261,32,25,80.43,77.62286906057308,2003,DougFlutie2003
ChrisChandler,CHI,625,1049,7156,33,37,74.67,75.94733079122975,2003,ChrisChandler2003
JoshMcCown,ARI,95,166,1018,5,6,70.3,70.30622489959839,2003,JoshMcCown2003
TimHasselbeck,WAS,95,177,1012,5,7,63.6,63.57109227871941,2003,TimHasselbeck2003
TimRattay,SFO,73,118,856,7,2,96.6,96.57485875706216,2003,TimRattay2003
BrianGriese,MIA,856,1353,9542,62,44,84.05,85.91555801921656,2003,BrianGriese2003
TonyBanks,HOU,409,746,4657,23,21,74.97,72.3302055406613,2003,TonyBanks2003
GusFrerotte,MIN,250,430,3211,20,15,87.0,82.61627906976744,2003,GusFrerotte2003
MichaelVick,ATL,331,634,4306,22,14,71.1,76.25525762355416,2003,MichaelVick2003
BillyVolek,TEN,44,69,545,4,1,101.4,101.41908212560386,2003,BillyVolek2003
JessePalmer,NYG,60,116,532,3,4,58.5,58.54885057471265,2003,JessePalmer2003
MarkBrunell,JAX,899,1483,10221,58,34,85.88,84.80135985614746,2003,MarkBrunell2003
DannyKanell,DEN,110,219,966,4,10,49.35,49.38165905631659,2003,DannyKanell2003
RexGrossman,CHI,38,72,437,2,1,74.8,74.8263888888889,2003,RexGrossman2003
KurtKittner,ATL,44,114,391,2,6,32.5,32.45614035087719,2003,KurtKittner2003
SteveBeuerlein,DEN,425,713,5044,27,28,70.47,77.49240299205236,2003,SteveBeuerlein2003
KurtWarner,STL,792,1178,10055,61,52,85.0,92.54385964912281,2003,KurtWarner2003
MarquesTuiasosopo,OAK,25,45,324,0,3,50.6,50.601851851851855,2003,MarquesTuiasosopo2003
NeilODonnell,TEN,96,167,1258,6,6,83.37,78.38073852295409,2003,NeilODonnell2003
DaveRagone,HOU,20,40,135,0,1,47.4,47.39583333333333,2003,DaveRagone2003
JariousJackson,DEN,4,9,41,0,1,18.5,11.805555555555554,2003,JariousJackson2003
RodneyPeete,CAR,227,391,2649,15,14,62.65,76.56116794543904,2003,RodneyPeete2003
DaunteCulpepper,MIN,1539,2391,18598,129,74,92.78,93.22023560574377,2004,DaunteCulpepper2004
TrentGreen,KAN,1427,2312,18166,110,71,90.66,89.32021337946944,2004,TrentGreen2004
PeytonManning,IND,1807,2772,21568,164,77,97.54,96.9727032227032,2004,PeytonManning2004
JakePlummer,DEN,1350,2353,15842,91,82,77.4,76.31835245785523,2004,JakePlummer2004
BrettFavre,GNB,1647,2652,18840,141,85,88.1,87.80480140774259,2004,BrettFavre2004
MarcBulger,STL,795,1231,9635,57,42,92.2,89.73226374221501,2004,MarcBulger2004
