Player,Team,Cmp,Att,Yds,TD,Int,AvgRate,PassRate,Year,PlID
SteveMcNair,TEN,1484,2410,17303,106,67,85.55,86.39004149377594,2005,SteveMcNair2005
MarkBrunell,WAS,1279,2174,14465,88,50,82.22,82.74302361238884,2005,MarkBrunell2005
GusFrerotte,MIA,507,924,6207,38,28,83.98,76.88041125541125,2005,GusFrerotte2005
AaronBrooks,NOR,1563,2771,19156,120,84,80.08,79.69670997233248,2005,AaronBrooks2005
KurtWarner,ARI,1208,1830,14822,78,65,85.38,90.24817850637523,2005,KurtWarner2005
DonovanMcNabb,PHI,1612,2727,18485,126,59,86.23,85.97436132502139,2005,DonovanMcNabb2005
DavidCarr,HOU,941,1628,10624,48,53,73.25,73.70495495495496,2005,DavidCarr2005
MichaelVick,ATL,726,1342,9031,51,39,72.9,75.76378539493294,2005,MichaelVick2005
BenRoethlisberger,PIT,364,563,5006,34,20,98.35,98.33851391355833,2005,BenRoethlisberger2005
TrentDilfer,CLE,525,907,6352,35,36,72.54,75.82460492466006,2005,TrentDilfer2005
MarcBulger,STL,987,1518,11932,71,51,92.75,90.60990338164251,2005,MarcBulger2005
ByronLeftwich,JAX,681,1161,7883,44,31,81.5,80.76191501579099,2005,ByronLeftwich2005
ChrisSimms,TAM,233,386,2502,11,10,72.75,78.09801381692574,2005,ChrisSimms2005
JoeyHarrington,DET,986,1802,10242,60,62,68.33,68.12569367369589,2005,JoeyHarrington2005
BradJohnson,MIN,1452,2342,15330,87,60,82.7,82.73021633931114,2005,BradJohnson2005
KyleOrton,CHI,190,368,1869,9,13,59.7,59.70335144927535,2005,KyleOrton2005
JoshMcCown,ARI,491,844,5365,25,27,73.1,73.59300947867298,2005,JoshMcCown2005
KyleBoller,BAL,545,981,5618,31,32,68.37,69.18323139653415,2005,KyleBoller2005
AnthonyWright,BAL,328,595,3547,20,25,59.2,66.55812324929973,2005,AnthonyWright2005
DaunteCulpepper,MIN,1678,2607,20162,135,86,89.32,91.46129011635341,2005,DaunteCulpepper2005
BrooksBollinger,NYJ,150,266,1558,7,6,72.9,72.85401002506265,2005,BrooksBollinger2005
KellyHolcomb,BUF,471,725,4833,35,29,87.47,83.42241379310344,2005,KellyHolcomb2005
JPLosman,BUF,113,228,1340,8,8,64.9,64.94883040935672,2005,JPLosman2005
JamieMartin,STL,248,372,2493,12,17,77.6,77.27374551971326,2005,JamieMartin2005
MikeMcMahon,PHI,209,469,2703,15,18,59.17,57.902452025586356,2005,MikeMcMahon2005
BrianGriese,TAM,1201,1863,13310,89,63,85.55,87.4071837538021,2005,BrianGriese2005
DavidGarrard,JAX,159,286,1722,7,4,69.63,75.83041958041959,2005,DavidGarrard2005
CharlieFrye,CLE,98,164,1002,4,5,72.8,72.76422764227641,2005,CharlieFrye2005
JeffGarcia,DET,1470,2410,16532,115,60,83.32,87.02800829875518,2005,JeffGarcia2005
AlexSmith,SFO,84,165,875,1,11,40.8,40.845959595959584,2005,AlexSmith2005
RyanFitzpatrick,STL,76,135,777,4,8,58.2,58.16358024691358,2005,RyanFitzpatrick2005
VinnyTestaverde,NYJ,1122,1913,12677,64,70,74.83,74.47617180693501,2005,VinnyTestaverde2005
ToddBouman,NOR,119,211,1517,10,11,76.5,73.11413902053712,2005,ToddBouman2005
TimRattay,SFO,327,540,3692,22,18,81.67,80.7253086419753,2005,TimRattay2005
ChadPennington,NYJ,755,1149,8462,53,30,87.25,92.02386132869161,2005,ChadPennington2005
MattSchaub,ATL,66,134,825,5,4,70.05,68.7810945273632,2005,MattSchaub2005
KenDorsey,SFO,171,316,1712,8,11,64.65,63.6867088607595,2005,KenDorsey2005
BillyVolek,TEN,312,514,3505,26,13,88.7,87.40272373540856,2005,BillyVolek2005
SageRosenfels,MIA,50,100,726,5,6,61.25,65.66666666666666,2005,SageRosenfels2005
TommyMaddox,PIT,596,1027,6985,41,39,67.62,76.26785134696527,2005,TommyMaddox2005
PatrickRamsey,WAS,480,861,5649,34,29,79.4,75.00725900116144,2005,PatrickRamsey2005
RexGrossman,CHI,105,195,1303,4,6,67.47,68.81410256410257,2005,RexGrossman2005
CharlieBatch,PIT,442,789,5127,26,28,75.2,72.04002957329955,2005,CharlieBatch2005
CodyPickett,SFO,14,35,140,0,2,28.3,28.27380952380953,2005,CodyPickett2005
MattMauck,TEN,15,27,136,0,1,53.9,53.9351851851852,2005,MattMauck2005
MarquesTuiasosopo,OAK,39,71,448,1,5,49.1,49.501173708920184,2005,MarquesTuiasosopo2005
DrewBrees,NOR,1466,2336,16545,105,64,86.92,87.45897545662102,2006,DrewBrees2006
PeytonManning,IND,2474,3782,29712,223,96,98.97,98.40802926141372,2006,PeytonManning2006
MarcBulger,STL,1357,2106,16233,95,59,92.78,91.2591009813232,2006,MarcBulger2006
JonKitna,DET,1623,2692,17474,98,98,76.5,76.3372956909361,2006,JonKitna2006
CarsonPalmer,CIN,932,1461,10768,78,43,90.77,91.4855692448095,2006,CarsonPalmer2006
BrettFavre,GNB,2362,3872,26606,179,132,83.44,82.75439049586777,2006,BrettFavre2006
TomBrady,NWE,1895,3061,21558,147,78,88.48,88.40860829794185,2006,TomBrady2006
BenRoethlisberger,PIT,644,1032,8519,52,43,90.7,87.9158591731266,2006,BenRoethlisberger2006
PhilipRivers,SDG,284,460,3388,22,9,92.0,92.01086956521736,2006,PhilipRivers2006
ChadPennington,NYJ,1068,1634,11814,70,46,86.32,89.22633618931047,2006,ChadPennington2006
EliManning,NYG,690,1276,8049,54,44,69.43,73.16810344827587,2006,EliManning2006
RexGrossman,CHI,367,675,4496,27,26,69.07,72.42901234567901,2006,RexGrossman2006
JPLosman,BUF,381,657,4391,27,22,74.9,78.0029173008625,2006,JPLosman2006
SteveMcNair,BAL,1779,2878,20353,122,79,85.11,85.75399583043782,2006,SteveMcNair2006
TonyRomo,DAL,220,337,2903,19,13,95.1,95.09767556874382,2006,TonyRomo2006
AlexSmith,SFO,341,607,3765,17,27,57.8,65.54434376716091,2006,AlexSmith2006
JakeDelhomme,CAR,1101,1848,13331,89,58,84.65,84.76506132756131,2006,JakeDelhomme2006
DavidCarr,HOU,1243,2070,13391,59,65,75.02,75.4951690821256,2006,DavidCarr2006
BradJohnson,MIN,1722,2781,18080,96,75,81.17,81.04174157976746,2006,BradJohnson2006
DonovanMcNabb,PHI,1792,3043,21132,144,65,87.56,86.96667214371782,2006,DonovanMcNabb2006
MattLeinart,ARI,214,377,2547,11,12,74.0,73.9997789566755,2006,MattLeinart2006
MichaelVick,ATL,930,1730,11505,71,52,73.37,75.7466281310212,2006,MichaelVick2006
CharlieFrye,CLE,350,557,3456,14,22,72.4,72.22097546379413,2006,CharlieFrye2006
MattHasselbeck,SEA,1539,2547,18222,112,72,84.13,85.12547441434366,2006,MattHasselbeck2006
JoeyHarrington,MIA,1209,2190,12478,72,77,68.3,68.13736681887367,2006,JoeyHarrington2006
VinceYoung,TEN,184,357,2199,12,13,66.7,66.73085901027078,2006,VinceYoung2006
JakePlummer,DEN,1802,3126,21202,120,102,78.0,77.58184047771381,2006,JakePlummer2006
DamonHuard,KAN,187,307,2196,12,4,79.1,90.2483713355049,2006,DamonHuard2006
MarkBrunell,WAS,1441,2434,16254,96,54,82.83,83.14674061900847,2006,MarkBrunell2006
DavidGarrard,JAX,304,527,3457,17,13,72.35,77.96094244149273,2006,DavidGarrard2006
AndrewWalter,OAK,147,276,1677,3,13,55.8,55.78200483091788,2006,AndrewWalter2006
BruceGradkowski,TAM,177,328,1661,9,9,65.9,65.8663617886179,2006,BruceGradkowski2006
KurtWarner,ARI,1316,1998,16199,84,70,85.94,90.16933600266933,2006,KurtWarner2006
TrentGreen,KAN,1865,3017,23522,134,90,88.21,88.45776709755827,2006,TrentGreen2006
JeffGarcia,PHI,1586,2598,17841,125,62,85.1,87.66358737490378,2006,JeffGarcia2006
JasonCampbell,WAS,110,207,1297,10,6,76.5,76.49959742351045,2006,JasonCampbell2006
DrewBledsoe,DAL,1647,2796,18645,104,83,77.3,78.98634954697187,2006,DrewBledsoe2006
ByronLeftwich,JAX,789,1344,9042,51,36,80.88,80.52455357142856,2006,ByronLeftwich2006
AaronBrooks,OAK,1673,2963,20261,123,92,77.46,78.52753403082461,2006,AaronBrooks2006
JayCutler,DEN,81,137,1001,9,5,88.5,88.48844282238444,2006,JayCutler2006
DaunteCulpepper,MIA,1759,2741,21091,137,89,87.56,90.7538307187158,2006,DaunteCulpepper2006
SenecaWallace,SEA,82,141,927,8,7,76.2,76.16725768321511,2006,SenecaWallace2006
DerekAnderson,CLE,66,117,793,5,8,63.1,63.087606837606835,2006,DerekAnderson2006
TimRattay,TAM,388,641,4440,26,20,83.3,81.90652626105044,2006,TimRattay2006
ChrisWeinke,CAR,366,674,3736,13,26,51.87,60.7875865479723,2006,ChrisWeinke2006
ChrisSimms,TAM,291,492,3087,12,17,63.93,71.24830623306234,2006,ChrisSimms2006
KerryCollins,TEN,1890,3310,22360,115,97,72.96,77.18403826787514,2006,KerryCollins2006
CharlieBatch,PIT,473,842,5619,31,28,86.65,75.1187648456057,2006,CharlieBatch2006
TarvarisJackson,MIN,47,81,475,2,4,62.5,62.525720164609055,2006,TarvarisJackson2006
CleoLemon,MIA,38,68,412,2,1,77.6,77.57352941176471,2006,CleoLemon2006
TomBrady,NWE,2293,3639,26364,197,86,92.59,92.97826783914994,2007,TomBrady2007
DrewBrees,NOR,1906,2988,20968,133,82,87.33,87.88208389112003,2007,DrewBrees2007
TonyRomo,DAL,555,857,7114,55,32,96.25,96.47267600155581,2007,TonyRomo2007
BrettFavre,GNB,2718,4407,30761,207,147,84.98,84.32087209742078,2007,BrettFavre2007
CarsonPalmer,CIN,1305,2036,14899,104,63,89.75,90.12156188605108,2007,CarsonPalmer2007
JonKitna,DET,1978,3253,21542,116,118,77.13,77.11919766369505,2007,JonKitna2007
PeytonManning,IND,2811,4297,33752,254,110,98.85,98.36368396555739,2007,PeytonManning2007
MattHasselbeck,SEA,1891,3109,22188,140,84,85.17,86.25830920982095,2007,MattHasselbeck2007
DerekAnderson,CLE,364,644,4580,34,27,72.8,78.94668737060042,2007,DerekAnderson2007
JayCutler,DEN,378,604,4498,29,19,88.3,88.16225165562913,2007,JayCutler2007
KurtWarner,ARI,1597,2449,19616,111,87,86.42,90.1056553695386,2007,KurtWarner2007
EliManning,NYG,987,1805,11385,77,64,70.55,73.37834718374884,2007,EliManning2007
DonovanMcNabb,PHI,2083,3516,24456,163,72,87.85,87.35542282897232,2007,DonovanMcNabb2007
BenRoethlisberger,PIT,908,1436,11673,84,54,94.05,92.4762070566388,2007,BenRoethlisberger2007
PhilipRivers,SDG,561,920,6540,43,24,87.2,87.22826086956522,2007,PhilipRivers2007
JasonCampbell,WAS,360,624,3997,22,17,77.05,77.25026709401709,2007,JasonCampbell2007
VinceYoung,TEN,422,739,4745,21,30,68.9,68.98116824537665,2007,VinceYoung2007
DavidGarrard,JAX,512,852,5966,35,16,78.32,87.20657276995306,2007,DavidGarrard2007
JeffGarcia,TAM,1795,2925,20281,138,66,86.29,88.4380341880342,2007,JeffGarcia2007
MarcBulger,STL,1578,2484,18625,106,74,89.03,88.07534889962426,2007,MarcBulger2007
DamonHuard,KAN,393,639,4453,23,17,78.33,83.28442879499217,2007,DamonHuard2007
MattSchaub,HOU,258,423,3066,14,13,75.77,81.33865248226951,2007,MattSchaub2007
JoeyHarrington,ATL,1424,2538,14693,79,85,69.78,69.38205936432887,2007,JoeyHarrington2007
TarvarisJackson,MIN,218,375,2386,11,16,66.65,69.0388888888889,2007,TarvarisJackson2007
BrianGriese,CHI,1362,2125,15113,99,75,84.13,85.95196078431373,2007,BrianGriese2007
CleoLemon,MIA,211,377,2185,8,7,74.3,72.20932802829356,2007,CleoLemon2007
ChadPennington,NYJ,1247,1894,13579,80,55,86.28,88.8023583245336,2007,ChadPennington2007
KyleBoller,BAL,713,1256,7361,40,42,70.08,70.49164012738855,2007,KyleBoller2007
SageRosenfels,HOU,204,340,2410,20,18,69.1,79.16666666666666,2007,SageRosenfels2007
TrentEdwards,BUF,151,269,1630,7,8,70.4,70.39188351920694,2007,TrentEdwards2007
KellenClemens,NYJ,130,250,1529,5,10,60.9,60.9,2007,KellenClemens2007
RexGrossman,CHI,489,900,5907,31,33,68.54,70.91203703703704,2007,RexGrossman2007
DaunteCulpepper,OAK,1867,2927,22422,142,94,86.36,89.94633299168659,2007,DaunteCulpepper2007
BrodieCroyle,KAN,127,224,1227,6,6,69.9,69.921875,2007,BrodieCroyle2007
JPLosman,BUF,492,832,5595,31,28,75.57,77.77944711538461,2007,JPLosman2007
TrentDilfer,SFO,638,1126,7518,42,48,69.63,71.7917406749556,2007,TrentDilfer2007
JoshMcCown,OAK,602,1034,6516,35,38,72.17,72.82801418439716,2007,JoshMcCown2007
SteveMcNair,BAL,1912,3083,21466,124,83,83.71,84.96526651529895,2007,SteveMcNair2007
ChrisRedman,ATL,186,331,2113,17,8,83.25,82.55916414904331,2007,ChrisRedman2007
GusFrerotte,STL,601,1091,7221,45,40,79.7,74.03948976474183,2007,GusFrerotte2007
LukeMcCown,TAM,142,237,1617,9,10,72.15,75.51863572433192,2007,LukeMcCown2007
TrentGreen,MIA,1950,3158,24509,139,97,86.26,87.75068608824151,2007,TrentGreen2007
QuinnGray,JAX,80,144,986,10,5,85.6,85.59027777777779,2007,QuinnGray2007
VinnyTestaverde,CAR,1216,2085,13629,69,76,73.54,73.76398880895283,2007,VinnyTestaverde2007
AlexSmith,SFO,435,800,4679,19,31,57.6,63.536458333333336,2007,AlexSmith2007
ToddCollins,WAS,67,105,888,5,0,106.4,106.36904761904762,2007,ToddCollins2007
MattMoore,CAR,63,111,730,3,5,67.0,67.02327327327326,2007,MattMoore2007
AJFeeley,PHI,336,613,3585,22,28,66.1,65.05913539967374,2007,AJFeeley2007
MattLeinart,ARI,274,489,3194,13,16,67.95,71.22102931152011,2007,MattLeinart2007
DavidCarr,CAR,1316,2206,14026,62,70,72.23,74.4352523420973,2007,DavidCarr2007
JakeDelhomme,CAR,1156,1934,13955,97,59,90.08,85.96604619096864,2007,JakeDelhomme2007
JohnBeck,MIA,60,107,559,1,3,62.0,62.0132398753894,2007,JohnBeck2007
KerryCollins,TEN,1940,3392,22891,115,97,73.83,77.24916470125788,2007,KerryCollins2007
KellyHolcomb,MIN,513,808,5348,37,30,84.6,82.36386138613861,2007,KellyHolcomb2007
ShaunHill,SFO,54,79,501,5,1,101.3,101.29219409282702,2007,ShaunHill2007
KyleOrton,CHI,233,448,2347,12,15,66.8,62.23028273809524,2007,KyleOrton2007
TroySmith,BAL,40,76,452,2,0,79.5,79.49561403508773,2007,TroySmith2007
BrooksBollinger,MIN,183,316,1949,8,7,80.45,75.25052742616035,2007,BrooksBollinger2007
JaMarcusRussell,OAK,36,66,373,2,4,55.9,55.93434343434344,2007,JaMarcusRussell2007
ByronLeftwich,ATL,821,1402,9321,52,38,76.6,79.6540656205421,2007,ByronLeftwich2007
CharlieBatch,PIT,490,878,5851,33,31,79.74,74.17425968109339,2007,CharlieBatch2007
BrockBerlin,STL,17,28,153,0,1,60.6,60.5654761904762,2007,BrockBerlin2007
ChrisWeinke,SFO,379,696,3840,14,26,60.45,61.59003831417624,2007,ChrisWeinke2007
CharlieFrye,CLE,354,567,3490,14,23,51.6,71.086860670194,2007,CharlieFrye2007
DrewBrees,NOR,2319,3623,26037,167,99,88.6,89.34642101389271,2008,DrewBrees2008
KurtWarner,ARI,1998,3047,24199,141,101,87.59,91.4321463734821,2008,KurtWarner2008
JayCutler,DEN,762,1220,9024,54,37,87.53,87.06967213114754,2008,JayCutler2008
AaronRodgers,GNB,341,536,4038,28,13,93.8,93.79664179104475,2008,AaronRodgers2008
PhilipRivers,SDG,873,1398,10549,77,35,93.3,93.49070100143061,2008,PhilipRivers2008
PeytonManning,IND,3182,4852,37754,281,122,98.42,97.98364935421819,2008,PeytonManning2008
DonovanMcNabb,PHI,2428,4087,28372,186,83,87.69,87.22320773183263,2008,DonovanMcNabb2008
MattCassel,NWE,327,516,3693,21,11,89.4,89.39760981912144,2008,MattCassel2008
ChadPennington,MIA,1568,2370,17232,99,62,87.87,90.53621659634318,2008,ChadPennington2008
DavidGarrard,JAX,847,1387,9586,50,29,78.88,85.07420091324201,2008,DavidGarrard2008
BrettFavre,NYJ,3061,4929,34233,229,169,84.53,83.97367620206938,2008,BrettFavre2008
TonyRomo,DAL,831,1307,10562,81,46,94.63,94.73189237439429,2008,TonyRomo2008
MattRyan,ATL,265,434,3440,16,11,87.7,87.72081413210445,2008,MattRyan2008
BenRoethlisberger,PIT,1189,1905,14974,101,69,91.26,89.42804024496938,2008,BenRoethlisberger2008
JakeDelhomme,CAR,1402,2348,17243,112,71,89.18,85.74141113003975,2008,JakeDelhomme2008
JasonCampbell,WAS,675,1130,7242,35,23,79.47,80.40929203539822,2008,JasonCampbell2008
EliManning,NYG,1276,2284,14623,98,74,73.72,76.11828663164039,2008,EliManning2008
MattSchaub,HOU,509,803,6109,29,23,80.0,86.70869655458696,2008,MattSchaub2008
KyleOrton,CHI,505,913,5319,30,27,71.07,71.08205549470611,2008,KyleOrton2008
JoeFlacco,BAL,257,428,2971,14,12,80.3,80.26674454828661,2008,JoeFlacco2008
MarcBulger,STL,1829,2924,21345,117,87,86.51,85.56629046967626,2008,MarcBulger2008
JeffGarcia,TAM,2039,3301,22993,150,72,86.72,88.63917499747552,2008,JeffGarcia2008
TrentEdwards,BUF,396,643,4329,18,18,77.9,79.12454639709694,2008,TrentEdwards2008
KerryCollins,TEN,2182,3807,25567,127,104,74.53,77.56599684791175,2008,KerryCollins2008
TylerThigpen,KAN,230,420,2608,18,12,76.0,75.97222222222223,2008,TylerThigpen2008
JaMarcusRussell,OAK,234,434,2796,15,12,66.5,73.85752688172043,2008,JaMarcusRussell2008
GusFrerotte,MIN,779,1392,9378,57,55,78.84,73.97629310344827,2008,GusFrerotte2008
ShaunHill,SFO,235,367,2547,18,9,94.4,90.49159854677566,2008,ShaunHill2008
RyanFitzpatrick,CIN,297,507,2682,12,17,64.1,66.85979618671925,2008,RyanFitzpatrick2008
JTOSullivan,SFO,128,220,1678,8,11,73.6,73.63636363636363,2008,JTOSullivan2008
DanOrlovsky,DET,143,255,1616,8,8,72.6,72.60620915032679,2008,DanOrlovsky2008
DerekAnderson,CLE,506,927,6195,43,35,70.7,75.14608054656598,2008,DerekAnderson2008
SenecaWallace,SEA,223,383,2459,19,10,81.6,83.01240208877286,2008,SenecaWallace2008
SageRosenfels,HOU,320,514,3841,26,28,71.7,79.2639429312581,2008,SageRosenfels2008
MattHasselbeck,SEA,2000,3318,23404,145,94,81.75,84.46729957805907,2008,MattHasselbeck2008
BrianGriese,TAM,1472,2309,16186,104,82,82.29,84.63349935036813,2008,BrianGriese2008
TarvarisJackson,MIN,306,524,3442,20,18,76.23,76.5267175572519,2008,TarvarisJackson2008
DaunteCulpepper,DET,1927,3042,23208,146,100,83.87,88.96148367302213,2008,DaunteCulpepper2008
JonKitna,DET,2046,3373,22300,121,123,76.51,76.94250914121949,2008,JonKitna2008
CarsonPalmer,CIN,1380,2165,15630,107,67,85.6,88.86162432640494,2008,CarsonPalmer2008
JPLosman,BUF,555,936,6179,33,33,72.25,76.06392450142451,2008,JPLosman2008
TrentGreen,STL,1988,3230,25034,139,103,81.31,86.72471620227039,2008,TrentGreen2008
BradyQuinn,CLE,45,89,518,2,2,66.6,66.59644194756554,2008,BradyQuinn2008
DamonHuard,KAN,443,720,4930,25,21,75.17,81.30787037037038,2008,DamonHuard2008
BradJohnson,DAL,1763,2859,18507,98,80,77.34,80.20942637285765,2008,BradJohnson2008
KenDorsey,CLE,214,407,2082,8,18,51.9,55.3388615888616,2008,KenDorsey2008
RexGrossman,CHI,521,962,6164,33,35,67.07,70.18797643797643,2008,RexGrossman2008
VinceYoung,TEN,444,775,4964,22,32,67.43,68.7715053763441,2008,VinceYoung2008
AndrewWalter,OAK,169,325,1881,3,16,43.55,52.09615384615385,2008,AndrewWalter2008
BrodieCroyle,KAN,147,253,1378,6,6,75.55,71.2203557312253,2008,BrodieCroyle2008
CharlieFrye,SEA,366,590,3573,16,25,52.05,70.3954802259887,2008,CharlieFrye2008
TomBrady,NWE,2300,3650,26440,197,86,91.5,92.95091324200912,2008,TomBrady2008
BruceGradkowski,CLE,184,349,1687,9,12,34.35,60.42860553963706,2008,BruceGradkowski2008
MattSchaub,HOU,905,1386,10879,58,38,83.72,91.72679172679172,2009,MattSchaub2009
PeytonManning,IND,3575,5423,42254,314,138,98.57,98.18174134857705,2009,PeytonManning2009
TonyRomo,DAL,1178,1857,15045,107,55,95.38,95.56969125830192,2009,TonyRomo2009
AaronRodgers,GNB,691,1077,8472,58,20,98.5,98.53953884246364,2009,AaronRodgers2009
TomBrady,NWE,2671,4215,30838,225,99,92.02,93.38226571767497,2009,TomBrady2009
DrewBrees,NOR,2682,4137,30425,201,110,91.23,91.86759729272418,2009,DrewBrees2009
BenRoethlisberger,PIT,1526,2411,19302,127,81,92.8,91.74529932254941,2009,BenRoethlisberger2009
PhilipRivers,SDG,1190,1884,14803,105,44,96.07,96.30440552016985,2009,PhilipRivers2009
BrettFavre,MIN,3424,5460,38435,262,176,86.8,86.23702686202685,2009,BrettFavre2009
EliManning,NYG,1593,2793,18644,125,88,76.95,79.21664279746987,2009,EliManning2009
KyleOrton,DEN,841,1454,9121,51,39,75.0,76.93718477762494,2009,KyleOrton2009
KurtWarner,ARI,2337,3560,27952,167,115,88.15,91.68071161048688,2009,KurtWarner2009
JayCutler,CHI,1098,1775,12690,81,63,84.85,83.84389671361502,2009,JayCutler2009
JasonCampbell,WAS,1002,1637,10860,55,38,81.2,82.26048666259416,2009,JasonCampbell2009
JoeFlacco,BAL,572,927,6584,35,24,84.6,84.8952714850773,2009,JoeFlacco2009
DavidGarrard,JAX,1161,1903,13183,65,39,79.54,84.63500613067087,2009,DavidGarrard2009
DonovanMcNabb,PHI,2695,4530,31925,208,93,88.21,87.77593818984548,2009,DonovanMcNabb2009
CarsonPalmer,CIN,1662,2631,18724,128,80,85.27,87.92521854808058,2009,CarsonPalmer2009
MattHasselbeck,SEA,2293,3806,26433,162,111,81.01,83.26326852338414,2009,MattHasselbeck2009
MattCassel,KAN,598,1009,6617,37,27,79.65,79.87074661380905,2009,MattCassel2009
MattRyan,ATL,528,885,6356,38,25,84.3,84.26789077212806,2009,MattRyan2009
ChadHenne,MIA,274,451,2878,12,14,75.2,75.23558758314857,2009,ChadHenne2009
MarkSanchez,NYJ,196,364,2444,12,20,63.0,63.026556776556774,2009,MarkSanchez2009
AlexSmith,SFO,660,1172,7029,37,43,63.58,69.23705915813426,2009,AlexSmith2009
MatthewStafford,DET,201,377,2267,13,20,61.0,60.95822281167108,2009,MatthewStafford2009
JakeDelhomme,CAR,1580,2669,19258,120,89,84.93,82.57228050455852,2009,JakeDelhomme2009
VinceYoung,TEN,596,1034,6843,32,39,71.28,72.29206963249517,2009,VinceYoung2009
JoshFreeman,TAM,158,290,1855,10,18,59.8,59.77011494252874,2009,JoshFreeman2009
MarcBulger,STL,1969,3171,22814,122,93,84.54,84.4101492694208,2009,MarcBulger2009
RyanFitzpatrick,BUF,424,734,4104,21,27,65.97,67.72820163487738,2009,RyanFitzpatrick2009
BradyQuinn,CLE,181,345,1857,10,9,66.9,67.02294685990339,2009,BradyQuinn2009
JaMarcusRussell,OAK,354,680,4083,18,23,61.0,65.21446078431373,2009,JaMarcusRussell2009
KerryCollins,TEN,2301,4023,26792,133,112,73.63,76.915548098434,2009,KerryCollins2009
TrentEdwards,BUF,506,826,5498,24,25,76.53,77.94087974172719,2009,TrentEdwards2009
MattMoore,CAR,148,249,1783,11,7,82.75,84.4628514056225,2009,MattMoore2009
BruceGradkowski,OAK,266,499,2694,15,15,49.77,66.49549098196394,2009,BruceGradkowski2009
DaunteCulpepper,DET,2016,3199,24153,149,106,81.96,87.77808169219549,2009,DaunteCulpepper2009
ShaunHill,SFO,322,522,3490,23,11,89.47,87.25255427841634,2009,ShaunHill2009
KyleBoller,STL,811,1432,8260,43,48,68.3,69.3552141527002,2009,KyleBoller2009
DerekAnderson,CLE,587,1109,7083,46,45,63.55,69.72309888788698,2009,DerekAnderson2009
ChrisRedman,ATL,255,450,2894,21,11,81.63,81.47222222222223,2009,ChrisRedman2009
KevinKolb,PHI,62,96,741,4,3,88.9,88.93229166666666,2009,KevinKolb2009
SenecaWallace,SEA,301,503,3159,22,12,81.7,82.75762094102053,2009,SenecaWallace2009
JoshJohnson,TAM,63,125,685,4,8,50.9,50.916666666666664,2009,JoshJohnson2009
ByronLeftwich,TAM,879,1509,9915,56,41,75.7,79.05207643030705,2009,ByronLeftwich2009
CharlieFrye,OAK,419,677,4154,17,29,54.7,69.74704579025111,2009,CharlieFrye2009
KeithNull,STL,73,119,566,3,9,49.9,49.9124649859944,2009,KeithNull2009
MattLeinart,ARI,325,566,3629,13,19,66.83,70.31802120141343,2009,MattLeinart2009
ChadPennington,MIA,1619,2444,17645,100,64,86.39,90.09649481723949,2009,ChadPennington2009
DrewStanton,DET,26,51,259,0,6,26.1,16.70751633986928,2009,DrewStanton2009
BrodieCroyle,KAN,170,293,1608,8,6,80.57,73.86945392491468,2009,BrodieCroyle2009
BrianBrohm,BUF,17,29,146,0,2,43.2,43.17528735632184,2009,BrianBrohm2009
DennisDixon,PIT,12,26,145,1,1,60.6,60.57692307692307,2009,DennisDixon2009
KellenClemens,NYJ,143,276,1654,5,10,62.35,61.171497584541065,2009,KellenClemens2009
MarkBrunell,NOR,1456,2464,16356,96,55,77.97,82.67045454545455,2009,MarkBrunell2009
ChrisSimms,DEN,296,509,3110,12,18,51.73,69.1265553372626,2009,ChrisSimms2009
PhilipRivers,SDG,1547,2425,19513,135,57,97.22,97.53522336769761,2010,PhilipRivers2010
PeytonManning,IND,4025,6102,46954,347,155,97.96,97.48511417021743,2010,PeytonManning2010
DrewBrees,NOR,3130,4795,35045,234,132,91.19,91.72966631908238,2010,DrewBrees2010
MattSchaub,HOU,1270,1960,15249,82,50,85.1,91.81335034013605,2010,MattSchaub2010
EliManning,NYG,1932,3332,22646,156,113,78.14,80.19707883153262,2010,EliManning2010
CarsonPalmer,CIN,2024,3217,22694,154,100,84.86,86.91133043207957,2010,CarsonPalmer2010
AaronRodgers,GNB,1003,1552,12394,86,31,99.4,99.36103951890036,2010,AaronRodgers2010
TomBrady,NWE,2995,4707,34738,261,103,93.92,95.22298349975215,2010,TomBrady2010
MattRyan,ATL,885,1456,10061,66,34,86.53,86.90762362637363,2010,MattRyan2010
KyleOrton,DEN,1134,1952,12774,71,48,77.5,79.64053961748633,2010,KyleOrton2010
JoeFlacco,BAL,878,1416,10206,60,34,87.6,87.90607344632768,2010,JoeFlacco2010
SamBradford,STL,354,590,3512,18,15,76.5,76.46186440677965,2010,SamBradford2010
JoshFreeman,TAM,449,764,5306,35,24,77.85,82.17713787085515,2010,JoshFreeman2010
DonovanMcNabb,WAS,2970,5002,35302,222,108,87.2,86.76779288284685,2010,DonovanMcNabb2010
ChadHenne,MIA,575,941,6179,27,33,75.3,75.3165958200496,2010,ChadHenne2010
MarkSanchez,NYJ,474,871,5735,29,33,69.15,70.18034825870649,2010,MarkSanchez2010
JayCutler,CHI,1359,2207,15964,104,79,85.14,84.32921764083976,2010,JayCutler2010
BenRoethlisberger,PIT,1766,2800,22502,144,86,93.4,92.47321428571428,2010,BenRoethlisberger2010
MattCassel,KAN,860,1459,9733,64,34,84.1,83.91164039296322,2010,MattCassel2010
MichaelVick,PHI,1163,2102,14523,92,58,77.2,80.07056771328894,2010,MichaelVick2010
MattHasselbeck,SEA,2559,4250,29434,174,128,80.23,82.21470588235293,2010,MattHasselbeck2010
